6349250815,ZoZo雪琪,女,安徽,,4401640968448623,话不多说。。。请大家捞我。。
1806308994,百度周杰伦吧,男,台湾,197,4401493492811674,：剛唱完 就飛來北京 在飛機上無聊只好找點事做😆 #閒不下來      百度周杰伦吧的微博视频
1868383635,向日葵仔儿V,女,广东,,4401583984571910,每天都有一个任务未实现~无人评论
3800556838,雅雅雅雅王,女,湖北,199,4401532197823707,给我捞！
5674741622,金愉怡,女,上海,200,4401638389158725,在线互捞
1822465242,段喜儿DDX,男,广东,,4401409803570153,突然半夜醒了，原来是忘了这里打卡
3161466272,寞寞粉,女,北京,,4401483158017683,今天公司上午组织室内拓展，下午还得回去继续上班   回来又得晚上了🌧️
6964517950,追桃子的猴子,男,河南,199,4401492423858724,最美的不是下雨天，是曾与你躲过雨的屋檐 oh～ 下暴雨啦！  #V影像力#
1972233661,黄初一HLJ,男,海南,,4401484869154122,故事的小黄花，从出生那年就飘着。早安❤
6818399129,Solacccclaclaso,女,北京,,4401492973089865,卡。
1869544641,m喵小闹m,女,内蒙古,199,4401493219985349,“想让我以后来包头开演唱会吗？”“想！！！”      m喵小闹m的微博视频
6335027839,没有网名跌势,女,新疆,200,4401409401164037,今天也是爱杰伦的一天💒🌄🌄
5457541825,没有眉毛的壮壮,女,浙江,199,4400791232527706,#周杰伦杭州演唱会#   杭州我一定可以
1818545015,张小璐Queen璐,女,山东,,4400937722649580,转乘第二程🚄，继续出发。依然在候车室签到。20个评论，捞捞就好。但是碰上这个站在装修，只能在地上坐着等
1818545015,张小璐Queen璐,女,山东,,4399676826660895,来了 老弟（捞弟）    珍惜一切 就算没有拥有    哥哥的歌词真的是每一段每一句每一词都是正能量 新的一天、新的开始，加油少年！
1795517985,1877xyz,男,北京,,4399676826111194,从前从前
1749666713,TJX5,男,,,4399676813978674,还差8分，兄弟姐妹们求捞
2097826482,枝小枝,女,河北,,4399676780362499,好委屈，终于又能说话了
2856659572,Team茗,女,安徽,,4399676746755836,想要杰伦的歌词簿  这是一个小小的愿望
5140202646,Wu思s,男,黑龙江,199,4399676738701977,
6979168899,爱周爱杰爱lun,男,四川,199,4399676729946912,目标一个亿！直接复制这条 ！请大家去捞低于20评的微博！这样才能算有效超话！一定要带话题！评论也带！         #周杰伦粉丝被迫营业#    ##    #周杰伦需要做数据吗#    #排名第一#    #周杰伦粉丝一鼓作气#    #周杰伦粉丝叫阿信打榜#   史上最全话题！最后记得把积分送给周杰伦！ ... 全文
6036833484,别想桃_,女,重庆,,4399676721894441,今天，你耳机听什么?
3776767230,沈沈沈v,女,重庆,201,4399676691928206,姐妹们，我要评论🙏
5249587359,阿列克學長_,男,广东,199,4399676687937616,上班的路上，你最喜欢听杰伦的哪首歌，评论留下歌名   我的是稻香，听着感觉元气满满，就很棒
1671819262,Scorpion-Lin,女,,,4399676683731480,昨天晚上做梦好乱  刚刚醒来有点蒙圈    (´□`｡)好饿 想吃汉堡
5848352807,可爱女人Hathaway,女,江苏,199,4399676663084284,
1922625165,威威爱吃肉哇,男,浙江,,4399676646178877,日常发帖攒积分 求评论呀
6981670681,梦醒时见你Jay,男,,,4399676637873331,从前从前有个人爱你很久
2869968004,面朝大海种太阳,女,江苏,199,4399676620769500,日常攒积分博
6515601735,Milkey草莓牛奶,女,,190,4399676595555109,日常求捞！给我杰伦囤分
7266862888,用户7266862888,男,,,4399676587158203,评论我 就现在
5769677663,碳酸饮料气泡,女,,199,4399676566349122,每日一签 一人评论一句歌词吧
3626566990,say久,女,新疆,199,4399676549544485,买了把新伞快夸夸我，哈哈
5162052384,dudududu笃,女,海南,200,4399676533119184,囤分评论砸我
2875294531,wangbing5244,女,北京,199,4399676528338440,
